City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
191,Pamplona,ES,51.71,clear sky,42.8169,-1.6432,Sercotel Hotel Leyre
192,Doctor Arroyo,MX,57.45,clear sky,23.6667,-100.1833,Hotel Plaza
199,Bardiyah,LY,53.19,broken clouds,31.7561,25.0865,بورتو بردية
201,Waycross,US,59.05,clear sky,31.2136,-82.354,Super 8 by Wyndham Waycross GA
202,Brae,GB,40.91,broken clouds,60.3964,-1.353,Busta House Hotel
203,Lichuan,CN,31.33,overcast clouds,30.3,108.85,Yicheng Hotel
205,Katsuura,JP,45.19,light rain,35.1333,140.3,Katsuura Hotel Mikazuki
209,Redmond,US,49.05,overcast clouds,47.674,-122.1215,Seattle Marriott Redmond
210,Bluff,NZ,59.81,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
213,Artyom,AZ,53.74,clear sky,40.4723,50.333,Merdan Respect
216,Lasa,IT,54.86,clear sky,46.6166,10.7002,Pension Feldgärtenhof
217,Ilulissat,GL,10.42,overcast clouds,69.2167,-51.1,Hotel Arctic
218,Meadow Lake,US,49.42,clear sky,34.8014,-106.5436,TumbleWeed RV Park
220,Neubrandenburg,DE,45.9,overcast clouds,53.5667,13.2667,PARKHOTEL NEUBRANDENBURG
221,Nara,JP,40.28,overcast clouds,34.6851,135.8049,Guesthouse Nara Komachi
222,Nadym,RU,-2.87,few clouds,65.5333,72.5167,Apartment on Zvereva
225,Fairbanks,US,-6.39,light snow,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
229,Methven,NZ,59.47,moderate rain,-43.6333,171.65,Brinkley Resort
232,Tiksi,RU,-14.13,overcast clouds,71.6872,128.8694,Arktika
236,Haines Junction,CA,33.75,overcast clouds,60.7522,-137.5108,Parkside Inn
237,College,US,-6.41,light snow,64.8569,-147.8028,Pike's Waterfront Lodge
240,Westport,US,45.45,clear sky,41.1415,-73.3579,The Westport Inn
251,Awjilah,LY,55.69,few clouds,29.1081,21.2869,المنزل
253,Saint George,US,59.34,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
257,Tarquinia,IT,56.03,clear sky,42.2482,11.7553,Hotel Villa Tirreno
260,Burnie,AU,57.94,overcast clouds,-41.0667,145.9167,Beachfront Voyager Motor Inn
262,Dali,CN,38.75,clear sky,25.7,100.1833,Dali Travelling With Hostel
264,Novyy Urengoy,RU,-3.41,scattered clouds,66.0833,76.6333,Apartments Moy Dom na Gubkina
267,Marsa Matruh,EG,55.6,scattered clouds,31.3525,27.2453,Beau Site
268,Port Hardy,CA,47.75,light rain,50.6996,-127.4199,Airport Inn-Port Hardy
269,Palmer,US,43.48,clear sky,42.1584,-72.3287,Wedgewood Motel
270,Kuito,AO,59.2,overcast clouds,-12.3833,16.9333,Herdeiros de Antunes Capusso
277,Asau,RO,34.72,broken clouds,46.4333,26.4,Casa Mika Ciobanus
278,Nipawin,CA,8.64,overcast clouds,53.3668,-104.0009,Tobin Lake Motel
279,Mao,ES,52.36,few clouds,39.8885,4.2658,ARTIEM Capri
280,Ust-Koksa,RU,1.69,overcast clouds,50.2696,85.6108,Uymonskaya Dolina
282,Vardo,NO,26.58,broken clouds,70.3705,31.1107,Vardø Hotel AS
283,Kushiro,JP,16.72,few clouds,42.975,144.3747,Toyoko Inn Kushiro Jujigai
285,Yamada,JP,32.85,overcast clouds,39.4667,141.95,Iroha-ya Inn
286,Muros,ES,59.5,clear sky,42.7762,-9.0603,Apartment Av. Castelao
291,Znamenskoye,RU,-8.0,scattered clouds,57.1281,73.8282,"Gostinitsa ""Kolos"""
292,La Rioja,ES,50.31,clear sky,42.25,-2.5,Casa Concejos
294,Baie-Comeau,CA,29.88,overcast clouds,49.2168,-68.1489,Travelodge by Wyndham Baie-Comeau
297,Lomovka,RU,-4.88,overcast clouds,53.9194,58.3672,Grand Hostel
300,Longyearbyen,SJ,8.44,broken clouds,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
301,Marystown,CA,38.86,overcast clouds,47.1666,-55.1483,Marystown Hotel & Convention Centre
302,Pangnirtung,CA,-13.0,few clouds,66.1451,-65.7125,Kilabuk Lodge
307,Baker City,US,44.64,mist,44.7749,-117.8344,Bridge Street Inn
308,Wajima,JP,39.87,light rain,37.4,136.9,Wajiima Onsen Yashio
311,Brigantine,US,51.35,clear sky,39.4101,-74.3646,Legacy Vacation Resorts - Brigantine Beach
312,Gorgan,IR,44.56,clear sky,36.8387,54.4348,Khayyam Motel
