City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Arrifes,PT,37.7667,-25.7,63.23,72,20,14.97,few clouds
80,Todos Santos,MX,23.45,-110.2167,76.1,61,2,5.14,clear sky
81,Carnarvon,AU,-24.8667,113.6333,77.07,73,0,16.11,clear sky
82,Ukiah,US,39.1502,-123.2078,71.01,53,54,2.01,broken clouds
83,Sibolga,ID,1.7427,98.7792,74.44,95,99,2.21,overcast clouds
84,Port Elizabeth,ZA,-33.918,25.5701,72.1,77,0,10.36,clear sky
85,Cayenne,GF,4.9333,-52.3333,77.04,90,75,2.3,broken clouds
86,Jalu,LY,29.0331,21.5482,55.06,42,12,8.46,few clouds
87,Mandera,KE,3.9366,41.867,86.99,16,28,10.07,scattered clouds
88,Hofn,IS,64.2539,-15.2082,26.62,63,20,23.02,few clouds
89,Madang,PG,-5.2246,145.7966,76.26,92,92,4.05,overcast clouds
90,Bowen,AU,-20.0167,148.2333,70.02,75,24,4.72,few clouds
91,Yellowknife,CA,62.456,-114.3525,-9.58,78,100,8.05,light snow
92,Severo-Kurilsk,RU,50.6789,156.125,31.53,87,100,17.81,light snow
93,Waipawa,NZ,-41.4122,175.5153,68.63,97,100,5.01,overcast clouds
94,Qaanaaq,GL,77.484,-69.3632,-20.76,78,93,5.03,overcast clouds
95,Ahipara,NZ,-35.1667,173.1667,68.67,96,12,7.81,few clouds
96,Korla,CN,41.7597,86.1469,26.62,45,100,2.82,overcast clouds
97,Esperance,AU,-33.8667,121.9,60.64,85,24,8.97,few clouds
98,Bilma,NE,18.6853,12.9164,71.04,8,0,10.87,clear sky
99,Thompson,CA,55.7435,-97.8558,-3.84,71,75,5.75,broken clouds
100,Nanortalik,GL,60.1432,-45.2371,22.57,62,61,3.94,broken clouds
101,Turukhansk,RU,65.8167,87.9833,-22.27,97,39,7.36,scattered clouds
102,Nuevo Laredo,MX,27.4763,-99.5164,67.98,39,0,8.05,clear sky
103,Bambanglipuro,ID,-7.95,110.2833,77.81,87,100,10.11,moderate rain
104,Chingirlau,KZ,51.095,54.0814,15.82,94,98,10.83,overcast clouds
105,Dicabisagan,PH,17.0818,122.4157,73.24,86,59,2.15,broken clouds
106,Fort Nelson,CA,58.8053,-122.7002,2.79,85,100,3.44,overcast clouds
107,Clyde River,CA,70.4692,-68.5914,-19.97,69,75,25.32,broken clouds
108,Nome,US,64.5011,-165.4064,-7.53,71,100,6.91,light snow
109,Guerrero Negro,MX,27.9769,-114.0611,68.68,30,40,3.02,scattered clouds
110,Qaqortoq,GL,60.7167,-46.0333,18.1,64,97,9.86,overcast clouds
111,Aire-Sur-La-Lys,FR,50.6387,2.3988,50.97,91,84,6.06,broken clouds
112,Vychegodskiy,RU,61.247,46.8984,23.63,95,100,8.75,snow
113,Salina,US,38.8403,-97.6114,55.31,28,0,8.05,clear sky
114,White Rock,CA,49.0164,-122.8026,46.49,97,100,0.0,overcast clouds
115,Muisne,EC,0.6,-80.0333,82.51,81,99,9.08,light rain
116,Ust-Charyshskaya Pristan,RU,52.3934,83.6635,-6.99,100,98,3.31,overcast clouds
117,Victoria,HK,22.2855,114.1577,63.95,85,100,5.99,overcast clouds
118,La Ronge,CA,55.1001,-105.2842,5.25,78,100,8.05,overcast clouds
119,Buraydah,SA,26.326,43.975,66.65,23,0,12.01,clear sky
120,Nhulunbuy,AU,-12.2333,136.7667,81.21,83,40,2.3,scattered clouds
121,Albany,US,42.6001,-73.9662,40.26,56,9,1.99,clear sky
122,Nueve De Julio,AR,-35.4444,-60.8831,83.71,38,0,7.49,clear sky
123,Muyezerskiy,RU,63.9333,31.65,23.0,90,91,10.09,overcast clouds
124,Iskateley,RU,67.6803,53.1512,13.6,85,91,21.77,overcast clouds
125,Ribeira Grande,PT,38.5167,-28.7,63.0,59,20,16.11,few clouds
126,Magomeni,TZ,-6.8,39.25,82.33,78,40,5.75,scattered clouds
127,Jorochito,BO,-18.05,-63.4333,88.12,25,36,6.62,scattered clouds
128,Bathsheba,BB,13.2167,-59.5167,81.21,69,40,25.32,scattered clouds
129,Portland,US,45.5234,-122.6762,52.38,85,75,1.99,broken clouds
130,Norman Wells,CA,65.282,-126.8329,-11.16,64,100,21.85,light snow
131,Tasiilaq,GL,65.6145,-37.6368,17.76,63,50,7.74,scattered clouds
132,Tarata,BO,-17.6167,-66.0167,69.22,52,90,4.09,overcast clouds
133,Rocha,UY,-34.4833,-54.3333,77.92,46,7,8.52,clear sky
134,Road Town,VG,18.4167,-64.6167,82.49,69,40,9.22,scattered clouds
135,Necochea,AR,-38.5473,-58.7368,83.03,36,62,8.34,broken clouds
136,Bambous Virieux,MU,-20.3428,57.7575,79.05,78,40,3.44,scattered clouds
137,Khasan,RU,42.4308,130.6434,25.12,83,23,4.94,few clouds
138,Vila Velha,BR,-20.3297,-40.2925,76.95,83,40,14.97,scattered clouds
139,Hervey Bay,AU,-25.2986,152.8535,68.11,86,0,8.99,clear sky
140,Maarianhamina,AX,60.0973,19.9348,39.06,81,0,9.22,clear sky
141,Kolosovka,RU,56.4678,73.611,-10.8,99,8,5.93,clear sky
142,Rozkishne,UA,48.5074,39.3004,30.6,77,99,11.72,overcast clouds
143,Liverpool,GB,53.4106,-2.9779,46.62,76,20,11.5,few clouds
144,Guadalupe,MX,25.6833,-100.25,71.4,45,0,3.53,clear sky
145,Adrar,MR,20.5022,-10.0711,78.35,8,17,11.68,few clouds
146,Comodoro Rivadavia,AR,-45.8667,-67.5,75.06,31,40,9.22,scattered clouds
147,Sur,OM,22.5667,59.5289,70.59,60,2,8.84,clear sky
148,Kaitangata,NZ,-46.2817,169.8464,58.6,99,100,9.31,overcast clouds
149,Nikolskoye,RU,59.7035,30.7861,31.91,96,63,8.03,broken clouds
150,Puerto Carreno,CO,6.189,-67.4859,91.38,52,40,0.0,scattered clouds
151,Gualdo Tadino,IT,43.2317,12.781,49.69,72,9,1.01,clear sky
152,East London,ZA,-33.0153,27.9116,68.94,88,20,9.22,few clouds
153,Saskylakh,RU,71.9167,114.0833,-10.98,97,37,7.14,scattered clouds
